
"KS206EW - Household language"
"ONS Crown Copyright Reserved [from Nomis on 8 June 2020]"
"Population :","All households"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"2011 output area","mnemonic","All people aged 16 and over in household have English as a main language (English or Welsh in Wales)","At least one but not all people aged 16 and over in household have English as a main language (English or Welsh in Wales)","No people aged 16 and over in household but at least one person aged 3 to 15 has English as a main language (English or Welsh in Wales)","No people in household have English as a main language (English or Welsh in Wales)"
"E00014636","E00014636",86.2,8.8,1.3,3.8
"E00014619","E00014619",59.8,23.4,8.4,8.4
"E00014627","E00014627",63.2,15.1,8.5,13.2
"E00014631","E00014631",65.5,11.3,9.9,13.4
"E00014632","E00014632",67.0,10.4,7.0,15.7
"E00014641","E00014641",80.2,3.7,1.2,14.8
"E00014450","E00014450",70.6,15.6,3.7,10.1
"E00014451","E00014451",80.0,6.2,0.0,13.8
"E00014452","E00014452",76.9,13.1,1.5,8.5
"E00014453","E00014453",77.3,3.4,0.8,18.5
"E00014456","E00014456",80.2,11.9,1.6,6.3
"E00014458","E00014458",83.1,10.8,1.5,4.6
"E00014445","E00014445",52.4,19.4,10.5,17.7
"E00014446","E00014446",47.4,20.2,10.5,21.9
"E00014460","E00014460",78.6,10.7,1.2,9.5
"E00014462","E00014462",74.0,10.2,4.7,11.0
"E00014465","E00014465",56.1,14.9,5.3,23.7
"E00014454","E00014454",66.7,14.3,2.0,17.0
"E00014455","E00014455",74.5,9.7,1.0,14.8
"E00014457","E00014457",69.2,10.3,2.7,17.8
"E00014459","E00014459",75.0,10.5,0.8,13.7
"E00014463","E00014463",65.0,7.7,5.1,22.2
"E00014464","E00014464",71.7,15.2,0.7,12.3
"E00014635","E00014635",79.6,9.7,1.0,9.7
"E00014637","E00014637",71.8,6.1,3.8,18.3
"E00014638","E00014638",83.9,6.5,0.0,9.7
"E00014640","E00014640",82.3,13.7,0.0,4.0
"E00014643","E00014643",75.0,9.2,1.7,14.2
"E00014614","E00014614",72.6,7.5,0.5,19.3
"E00014617","E00014617",79.9,7.3,0.6,12.3
"E00014618","E00014618",70.7,15.0,0.7,13.6
"E00014639","E00014639",83.1,8.5,1.0,7.5
"E00014642","E00014642",74.6,9.3,1.0,15.1
"E00014644","E00014644",69.7,12.0,4.8,13.5
"E00014163","E00014163",71.1,12.7,0.7,15.5
"E00014168","E00014168",77.2,9.7,0.0,13.1
"E00014170","E00014170",67.0,19.3,1.8,11.9
"E00014171","E00014171",71.0,14.5,2.2,12.3
"E00014173","E00014173",75.7,7.5,2.8,14.0
"E00014175","E00014175",74.8,10.9,0.7,13.6
"E00014150","E00014150",67.1,12.1,0.6,20.2
"E00014151","E00014151",72.3,9.6,3.6,14.5
"E00014162","E00014162",71.8,14.7,3.2,10.3
"E00014164","E00014164",69.7,8.5,2.1,19.7
"E00014165","E00014165",79.1,7.5,3.0,10.4
"E00014167","E00014167",73.3,11.6,2.1,13.0
"E00014153","E00014153",69.0,10.9,1.6,18.6
"E00014166","E00014166",73.3,9.9,0.0,16.8
"E00014169","E00014169",67.0,16.5,1.1,15.3
"E00014172","E00014172",61.2,7.3,3.6,27.9
"E00014174","E00014174",75.4,8.7,3.6,12.3
"E00014177","E00014177",60.6,9.4,4.7,25.2
"E00014178","E00014178",76.8,7.2,0.8,15.2
"E00014152","E00014152",68.7,9.0,0.4,21.9
"E00014154","E00014154",76.5,11.1,2.0,10.5
"E00014157","E00014157",74.1,10.2,3.0,12.7
"E00014176","E00014176",72.9,7.6,1.2,18.2
"E00014179","E00014179",66.2,19.5,5.2,9.1
"E00014181","E00014181",80.2,7.2,0.0,12.6
"E00014302","E00014302",75.4,10.6,0.0,14.1
"E00014322","E00014322",77.8,11.9,0.0,10.3
"E00014325","E00014325",75.2,11.0,2.1,11.7
"E00014326","E00014326",63.1,6.7,0.7,29.5
"E00014328","E00014328",71.6,12.9,2.0,13.4
"E00014329","E00014329",75.8,6.2,2.2,15.7
"E00014412","E00014412",62.9,13.6,5.0,18.6
"E00014415","E00014415",77.6,9.4,1.8,11.2
"E00014419","E00014419",76.3,14.4,0.0,9.3
"E00014438","E00014438",76.6,7.0,0.0,16.4
"E00014439","E00014439",67.2,9.5,0.7,22.6
"E00014413","E00014413",75.2,11.4,0.0,13.3
"E00014414","E00014414",64.0,14.4,6.3,15.3
"E00014418","E00014418",73.6,8.0,1.6,16.8
"E00014422","E00014422",68.1,11.8,2.5,17.6
"E00014423","E00014423",83.7,4.6,0.0,11.8
"E00014425","E00014425",77.0,9.7,1.8,11.5
"E00014440","E00014440",62.6,15.4,2.1,20.0
"E00014442","E00014442",67.5,13.0,4.9,14.6
"E00014461","E00014461",80.6,6.5,1.6,11.3
"E00014468","E00014468",62.7,18.6,4.2,14.4
"E00014470","E00014470",58.5,18.5,10.4,12.6
"E00014443","E00014443",56.2,22.7,4.7,16.4
"E00014444","E00014444",48.2,27.3,2.7,21.8
"E00014466","E00014466",61.1,12.5,10.4,16.0
"E00014467","E00014467",60.4,15.4,5.4,18.8
"E00014469","E00014469",64.8,18.0,3.3,13.9
"E00014441","E00014441",71.1,12.0,5.4,11.4
"E00014447","E00014447",51.2,23.3,9.3,16.3
"E00014448","E00014448",71.9,16.5,3.3,8.3
"E00014449","E00014449",81.2,6.2,0.0,12.5
"E00014477","E00014477",71.8,11.8,0.0,16.5
"E00014490","E00014490",77.8,11.1,2.0,9.1
"E00014492","E00014492",67.1,5.9,0.0,27.1
"E00014494","E00014494",77.4,7.7,0.6,14.2
"E00014497","E00014497",70.8,11.5,0.0,17.7
"E00014498","E00014498",72.4,9.2,0.0,18.4
"E00014502","E00014502",81.1,6.7,0.0,12.2
"E00014473","E00014473",70.9,15.6,0.7,12.8
"E00014481","E00014481",81.2,8.7,1.4,8.7
"E00014484","E00014484",74.3,8.3,0.0,17.4
"E00014485","E00014485",69.4,11.3,6.5,12.9
"E00014486","E00014486",60.4,15.8,5.0,18.7
"E00014501","E00014501",83.5,9.2,0.0,7.3
"E00014506","E00014506",79.3,7.2,0.0,13.5
"E00014475","E00014475",67.8,5.0,0.0,27.3
"E00014482","E00014482",67.8,5.6,0.0,26.6
"E00014483","E00014483",60.0,5.7,1.9,32.4
"E00014495","E00014495",59.7,10.1,2.3,27.9
"E00014500","E00014500",62.4,17.8,3.0,16.8
"E00175087","E00175087",68.5,13.5,0.0,18.0
"E00014474","E00014474",69.5,8.5,0.0,22.0
"E00014476","E00014476",62.3,10.8,0.0,26.9
"E00014478","E00014478",62.6,6.5,0.6,30.3
"E00014479","E00014479",62.2,8.1,2.2,27.4
"E00014480","E00014480",63.6,9.3,0.9,26.2
"E00014496","E00014496",64.1,7.7,4.3,23.9
"E00014505","E00014505",55.8,13.2,1.6,29.5
"E00014471","E00014471",81.9,8.3,0.0,9.7
"E00014487","E00014487",66.0,10.2,0.0,23.8
"E00014488","E00014488",61.8,14.7,2.0,21.6
"E00014489","E00014489",74.3,10.9,1.0,13.9
"E00014491","E00014491",65.4,9.0,0.6,25.0
"E00014493","E00014493",70.3,12.6,0.9,16.2
"E00014499","E00014499",72.8,10.9,3.3,13.0
"E00014155","E00014155",70.7,13.1,0.0,16.2
"E00014156","E00014156",67.6,7.6,3.8,21.0
"E00014158","E00014158",75.0,11.5,0.0,13.5
"E00014159","E00014159",82.8,5.4,1.1,10.8
"E00014160","E00014160",72.0,16.8,0.9,10.3
"E00014161","E00014161",76.1,11.2,0.0,12.7
"E00014180","E00014180",71.5,10.6,2.0,15.9
"E00014408","E00014408",73.9,8.7,3.3,14.1
"E00014409","E00014409",77.7,13.7,0.0,8.6
"E00014410","E00014410",72.1,9.3,1.4,17.1
"E00014421","E00014421",79.8,5.6,1.6,12.9
"E00014426","E00014426",67.7,11.0,3.9,17.3
"E00014428","E00014428",74.2,8.3,0.8,16.7
"E00014407","E00014407",71.1,4.1,5.0,19.8
"E00014424","E00014424",84.6,7.7,1.9,5.8
"E00014427","E00014427",79.7,12.5,0.0,7.8
"E00014429","E00014429",72.7,9.4,0.7,17.3
"E00014430","E00014430",77.9,6.4,1.4,14.3
"E00014431","E00014431",73.5,4.6,0.7,21.2
"E00014432","E00014432",70.6,10.3,2.4,16.7
"E00014433","E00014433",70.9,13.2,4.6,11.3
"E00014434","E00014434",72.2,15.7,2.8,9.3
"E00014435","E00014435",76.8,10.7,0.9,11.6
"E00014411","E00014411",70.2,9.9,2.5,17.4
"E00014416","E00014416",75.9,8.0,0.0,16.1
"E00014417","E00014417",67.0,16.0,3.0,14.0
"E00014420","E00014420",79.7,10.2,0.8,9.4
"E00014436","E00014436",68.4,15.8,1.8,14.0
"E00014437","E00014437",80.2,5.7,0.0,14.2
"E00014120","E00014120",68.7,13.0,2.6,15.7
"E00014121","E00014121",58.7,18.5,2.2,20.7
"E00014125","E00014125",73.6,14.4,0.8,11.2
"E00014127","E00014127",65.8,12.6,0.9,20.7
"E00014130","E00014130",68.7,7.8,2.6,20.9
"E00014132","E00014132",65.1,11.9,1.6,21.4
"E00014122","E00014122",59.0,9.6,3.6,27.7
"E00014123","E00014123",68.0,15.7,3.3,13.1
"E00014124","E00014124",67.1,15.9,1.8,15.3
"E00014126","E00014126",71.1,14.8,0.0,14.1
"E00014129","E00014129",66.3,11.2,0.0,22.5
"E00014135","E00014135",58.9,17.7,1.6,21.8
"E00014118","E00014118",71.2,7.2,3.6,18.0
"E00014128","E00014128",67.7,7.3,1.6,23.4
"E00014131","E00014131",62.5,10.0,0.0,27.5
"E00014133","E00014133",65.5,15.5,1.8,17.3
"E00014134","E00014134",70.5,8.6,1.0,20.0
"E00014136","E00014136",65.5,13.3,0.0,21.2
"E00014137","E00014137",73.0,8.7,3.5,14.8
"E00014117","E00014117",77.1,12.8,1.8,8.3
"E00014138","E00014138",59.2,22.4,0.8,17.6
"E00014139","E00014139",65.1,4.8,0.8,29.4
"E00014142","E00014142",70.2,13.7,0.0,16.1
"E00014144","E00014144",84.7,4.5,0.0,10.8
"E00014145","E00014145",70.2,10.6,1.0,18.3
"E00014147","E00014147",69.0,14.0,0.0,17.0
"E00014148","E00014148",81.7,5.8,1.0,11.5
"E00014119","E00014119",74.4,16.0,1.6,8.0
"E00014140","E00014140",65.6,7.4,3.3,23.8
"E00014141","E00014141",85.2,3.5,0.0,11.3
"E00014143","E00014143",69.2,7.5,0.0,23.3
"E00014146","E00014146",72.0,9.0,1.0,18.0
"E00014149","E00014149",70.3,3.1,2.3,24.2
"E00014377","E00014377",65.2,15.2,2.9,16.7
"E00014384","E00014384",61.1,19.8,4.6,14.5
"E00014390","E00014390",60.0,19.1,1.7,19.1
"E00014392","E00014392",56.7,20.0,6.7,16.7
"E00014393","E00014393",55.7,20.8,1.9,21.7
"E00014378","E00014378",67.6,8.5,3.3,20.7
"E00014381","E00014381",72.6,12.8,0.9,13.7
"E00014386","E00014386",65.0,13.9,1.7,19.4
"E00014387","E00014387",67.3,15.9,2.8,14.0
"E00014388","E00014388",71.4,10.1,0.0,18.5
"E00014394","E00014394",63.4,17.9,4.5,14.3
"E00014375","E00014375",54.2,13.4,9.5,22.9
"E00014376","E00014376",56.0,16.1,1.6,26.4
"E00014395","E00014395",54.8,16.9,1.6,26.6
"E00014396","E00014396",64.0,11.8,0.7,23.5
"E00014397","E00014397",57.0,9.7,1.0,32.4
"E00014398","E00014398",44.7,14.5,3.8,37.1
"E00014380","E00014380",80.4,11.6,0.9,7.1
"E00014382","E00014382",69.9,16.8,3.5,9.8
"E00014383","E00014383",62.1,13.6,0.7,23.6
"E00014399","E00014399",62.9,7.3,1.6,28.2
"E00014400","E00014400",67.0,14.8,2.6,15.7
"E00014401","E00014401",73.6,16.5,1.1,8.8
"E00014372","E00014372",65.6,14.1,0.8,19.5
"E00014373","E00014373",66.7,11.8,1.0,20.6
"E00014402","E00014402",55.7,9.6,6.1,28.7
"E00014403","E00014403",76.0,13.0,0.0,11.0
"E00014404","E00014404",71.0,10.5,2.4,16.1
"E00014405","E00014405",61.6,12.8,2.3,23.3
"E00014406","E00014406",67.3,10.6,1.8,20.4
"E00014508","E00014508",69.0,13.8,1.7,15.5
"E00014509","E00014509",66.7,7.5,2.7,23.1
"E00014510","E00014510",61.7,8.5,0.0,29.8
"E00014511","E00014511",57.4,8.2,1.6,32.8
"E00014514","E00014514",59.4,16.7,2.2,21.7
"E00014535","E00014535",67.8,11.2,0.7,20.3
"E00014518","E00014518",56.3,11.3,1.4,31.0
"E00014519","E00014519",51.3,17.1,0.0,31.6
"E00014520","E00014520",68.7,10.1,2.0,19.2
"E00014526","E00014526",68.1,11.2,3.4,17.2
"E00014530","E00014530",59.6,19.3,1.8,19.3
"E00014531","E00014531",61.1,6.5,0.0,32.4
"E00014523","E00014523",57.3,26.6,1.6,14.5
"E00014524","E00014524",65.5,12.6,5.0,16.8
"E00014532","E00014532",73.5,13.3,0.9,12.4
"E00014537","E00014537",62.5,16.4,2.3,18.8
"E00014538","E00014538",78.6,11.7,1.9,7.8
"E00014539","E00014539",66.9,16.1,3.4,13.6
"E00014507","E00014507",61.5,16.3,3.7,18.5
"E00014521","E00014521",71.2,9.6,0.0,19.2
"E00014522","E00014522",57.7,7.2,5.2,29.9
"E00014525","E00014525",59.3,11.4,2.9,26.4
"E00014528","E00014528",62.8,15.3,2.9,19.0
"E00014529","E00014529",53.3,10.5,1.0,35.2
"E00014512","E00014512",50.8,17.4,2.3,29.5
"E00014527","E00014527",75.7,6.3,0.0,18.0
"E00014533","E00014533",52.2,8.8,1.5,37.5
"E00014534","E00014534",57.7,14.1,0.7,27.5
"E00014536","E00014536",57.1,10.7,0.7,31.4
"E00014540","E00014540",52.2,8.2,1.5,38.1
"E00014541","E00014541",48.0,24.0,0.8,27.2
"E00014044","E00014044",77.4,10.5,0.8,11.3
"E00014045","E00014045",65.6,14.4,1.6,18.4
"E00014047","E00014047",74.0,14.5,0.0,11.5
"E00014049","E00014049",64.2,11.6,0.5,23.7
"E00014067","E00014067",60.7,8.6,1.4,29.3
"E00014070","E00014070",59.2,13.6,2.4,24.8
"E00014052","E00014052",58.3,6.5,1.2,33.9
"E00014053","E00014053",51.4,14.4,5.4,28.8
"E00014054","E00014054",44.1,17.1,3.6,35.1
"E00014055","E00014055",62.4,15.6,0.9,21.1
"E00014057","E00014057",56.7,16.3,2.9,24.0
"E00014077","E00014077",58.6,5.9,3.3,32.2
"E00014043","E00014043",63.0,7.5,0.7,28.8
"E00014061","E00014061",63.6,15.5,0.9,20.0
"E00014063","E00014063",49.3,9.2,0.5,41.1
"E00014064","E00014064",70.5,9.8,0.8,18.9
"E00014066","E00014066",61.1,14.8,2.8,21.3
"E00014056","E00014056",61.5,19.2,2.9,16.3
"E00014062","E00014062",63.6,15.2,3.0,18.2
"E00014065","E00014065",63.7,12.9,0.8,22.6
"E00014068","E00014068",63.3,13.8,2.8,20.2
"E00014072","E00014072",74.0,12.2,2.3,11.5
"E00014076","E00014076",70.6,18.3,1.8,9.2
"E00014374","E00014374",72.6,17.0,0.9,9.4
"E00014379","E00014379",61.2,21.4,1.9,15.5
"E00014385","E00014385",72.4,13.3,0.0,14.3
"E00014389","E00014389",39.1,11.7,3.1,46.1
"E00014391","E00014391",53.2,13.8,2.8,30.3
"E00014083","E00014083",61.3,10.8,1.1,26.9
"E00014084","E00014084",56.1,7.5,0.6,35.8
"E00014085","E00014085",62.9,10.3,1.7,25.0
"E00014086","E00014086",62.6,6.8,0.5,30.0
"E00014087","E00014087",62.9,6.0,0.6,30.5
"E00014092","E00014092",61.6,7.9,2.0,28.5
"E00014095","E00014095",61.8,6.9,1.4,29.9
"E00014096","E00014096",53.7,15.4,2.2,28.7
"E00014088","E00014088",57.9,9.3,1.9,30.8
"E00014089","E00014089",47.6,15.1,0.0,37.3
"E00014090","E00014090",66.2,9.0,0.8,24.1
"E00014091","E00014091",71.1,13.2,0.9,14.9
"E00014093","E00014093",60.2,15.3,2.0,22.4
"E00014097","E00014097",58.8,6.1,0.0,35.1
"E00014098","E00014098",66.3,12.5,1.0,20.2
"E00014339","E00014339",62.6,12.1,0.9,24.3
"E00014342","E00014342",66.2,5.4,0.8,27.7
"E00014347","E00014347",61.9,10.7,3.0,24.4
"E00014363","E00014363",63.8,9.5,4.8,21.9
"E00014367","E00014367",65.3,12.9,2.0,19.8
"E00014368","E00014368",66.9,12.7,0.0,20.4
"E00014371","E00014371",56.6,16.8,1.8,24.8
"E00014338","E00014338",76.4,12.4,0.0,11.2
"E00014358","E00014358",66.0,10.0,1.0,23.0
"E00014361","E00014361",68.9,9.6,0.0,21.5
"E00014362","E00014362",79.3,8.3,3.3,9.1
"E00014365","E00014365",68.6,11.6,5.8,14.0
"E00014366","E00014366",70.2,12.8,1.1,16.0
"E00014370","E00014370",59.2,7.2,0.7,32.9
"E00014330","E00014330",64.0,9.4,2.2,24.5
"E00014331","E00014331",68.0,9.8,1.6,20.5
"E00014332","E00014332",62.4,7.2,2.4,28.0
"E00014356","E00014356",61.2,9.4,1.2,28.2
"E00014357","E00014357",57.6,8.2,2.4,31.8
"E00014359","E00014359",57.6,9.1,0.0,33.3
"E00014360","E00014360",66.4,8.8,0.7,24.1
"E00014048","E00014048",55.2,17.2,2.6,25.0
"E00014050","E00014050",48.2,10.8,0.7,40.3
"E00014069","E00014069",49.6,18.5,0.0,31.9
"E00014071","E00014071",53.0,10.4,1.7,34.8
"E00014073","E00014073",61.0,7.8,1.3,29.9
"E00014074","E00014074",52.8,12.6,0.0,34.6
"E00014075","E00014075",57.6,17.6,4.0,20.8
"E00014183","E00014183",61.8,15.7,0.0,22.5
"E00014189","E00014189",62.9,12.1,2.6,22.4
"E00014199","E00014199",48.9,14.9,6.4,29.8
"E00014200","E00014200",46.2,10.6,0.0,43.3
"E00014202","E00014202",56.3,9.7,1.0,33.0
"E00014206","E00014206",61.2,1.9,1.0,35.9
"E00014207","E00014207",53.2,15.6,4.6,26.6
"E00014184","E00014184",56.8,8.6,0.7,33.8
"E00014185","E00014185",57.2,6.9,0.6,35.2
"E00014186","E00014186",52.9,10.9,0.0,36.1
"E00014187","E00014187",59.9,7.3,2.2,30.7
"E00014188","E00014188",72.3,5.9,2.0,19.8
"E00014195","E00014195",69.9,4.8,2.4,22.9
"E00014219","E00014219",66.0,6.2,0.0,27.8
"E00014220","E00014220",47.6,4.9,0.7,46.9
"E00014259","E00014259",43.6,18.2,1.8,36.4
"E00014281","E00014281",46.9,17.3,0.0,35.8
"E00014282","E00014282",64.0,17.5,0.9,17.5
"E00014284","E00014284",53.5,6.1,0.0,40.4
"E00014286","E00014286",63.9,10.9,0.8,24.4
"E00014290","E00014290",65.3,10.5,1.1,23.2
"E00014292","E00014292",57.1,13.4,0.0,29.4
"E00014513","E00014513",52.6,13.5,0.8,33.1
"E00014515","E00014515",61.9,15.2,1.0,21.9
"E00014516","E00014516",62.2,11.2,0.0,26.6
"E00014517","E00014517",58.3,6.0,1.3,34.4
"E00014542","E00014542",62.1,10.6,1.5,25.8
"E00014543","E00014543",59.2,9.2,1.5,30.0
"E00014544","E00014544",69.7,12.3,0.8,17.2
"E00014078","E00014078",63.1,14.3,1.2,21.4
"E00014079","E00014079",55.7,9.0,1.6,33.6
"E00014094","E00014094",55.2,19.0,1.0,24.8
"E00014099","E00014099",59.0,7.2,1.4,32.4
"E00014100","E00014100",61.3,14.3,1.7,22.7
"E00014102","E00014102",35.8,9.8,2.4,52.0
"E00014108","E00014108",58.6,25.0,0.9,15.5
"E00014109","E00014109",65.1,10.3,1.6,23.0
"E00014110","E00014110",75.8,6.7,3.3,14.2
"E00014112","E00014112",66.7,9.7,3.5,20.1
"E00014113","E00014113",65.6,16.7,4.4,13.3
"E00014115","E00014115",74.3,8.6,1.0,16.2
"E00014346","E00014346",65.4,0.0,0.0,34.6
"E00014348","E00014348",72.4,6.9,0.0,20.7
"E00014349","E00014349",57.1,0.9,0.0,42.0
"E00014364","E00014364",58.8,25.4,5.3,10.5
"E00175096","E00175096",59.1,18.9,1.5,20.5
"E00014334","E00014334",80.0,12.7,1.8,5.5
"E00014336","E00014336",66.1,12.9,0.0,21.0
"E00014337","E00014337",72.0,8.6,1.1,18.3
"E00014345","E00014345",60.2,9.8,1.6,28.5
"E00014351","E00014351",67.5,8.7,0.0,23.8
"E00014353","E00014353",67.8,11.2,0.7,20.3
"E00014354","E00014354",71.0,11.2,1.9,15.9
"E00014335","E00014335",72.7,8.7,2.0,16.7
"E00014341","E00014341",64.2,6.0,3.0,26.9
"E00014344","E00014344",52.6,1.8,0.0,45.6
"E00014350","E00014350",80.4,3.7,0.0,15.9
"E00014352","E00014352",66.7,5.9,6.9,20.6
"E00014355","E00014355",80.0,4.0,3.0,13.0
"E00014046","E00014046",62.7,15.1,1.6,20.6
"E00014051","E00014051",44.0,27.4,4.8,23.8
"E00014058","E00014058",53.1,10.2,0.7,36.1
"E00014059","E00014059",54.2,16.7,5.2,24.0
"E00014060","E00014060",49.0,14.6,2.0,34.4
"E00175099","E00175099",60.0,18.6,5.7,15.7
"E00175100","E00175100",45.5,12.6,6.9,35.1
"E00014263","E00014263",48.5,15.7,6.0,29.9
"E00014264","E00014264",64.8,10.2,1.6,23.4
"E00014267","E00014267",57.1,11.6,0.5,30.7
"E00014268","E00014268",66.9,9.8,0.8,22.6
"E00014293","E00014293",48.6,18.2,3.4,29.7
"E00014299","E00014299",54.3,11.4,0.7,33.6
"E00014261","E00014261",53.4,10.7,0.8,35.1
"E00014262","E00014262",54.4,4.8,1.6,39.2
"E00014265","E00014265",52.8,15.7,2.8,28.7
"E00014266","E00014266",66.2,12.9,0.0,20.9
"E00014296","E00014296",55.2,15.2,0.7,29.0
"E00014297","E00014297",62.5,7.6,4.9,25.0
"E00014298","E00014298",56.9,12.7,2.9,27.5
"E00014260","E00014260",50.4,16.3,0.0,33.3
"E00014283","E00014283",41.7,18.5,3.7,36.1
"E00014287","E00014287",59.8,7.7,0.0,32.5
"E00014288","E00014288",61.9,12.4,4.4,21.2
"E00014289","E00014289",57.3,10.3,2.6,29.9
"E00014291","E00014291",54.7,11.6,2.1,31.6
"E00014294","E00014294",61.5,11.9,1.5,25.2
"E00014295","E00014295",63.3,9.2,2.0,25.5
"E00014101","E00014101",47.0,16.4,0.7,35.8
"E00014104","E00014104",52.0,15.3,1.0,31.6
"E00014105","E00014105",55.9,13.8,2.6,27.6
"E00014116","E00014116",67.1,11.2,2.8,18.9
"E00175090","E00175090",58.3,8.6,1.4,31.7
"E00014080","E00014080",63.6,6.8,0.0,29.5
"E00014081","E00014081",60.2,7.3,1.6,30.9
"E00014082","E00014082",73.4,11.7,1.1,13.8
"E00014103","E00014103",66.7,5.7,0.0,27.6
"E00014107","E00014107",66.7,11.4,3.8,18.1
"E00014111","E00014111",71.7,7.5,1.9,18.9
"E00014190","E00014190",58.2,10.8,0.0,31.0
"E00014191","E00014191",65.9,11.4,3.3,19.5
"E00014192","E00014192",62.4,7.5,3.2,26.9
"E00014193","E00014193",62.8,7.4,3.4,26.4
"E00014217","E00014217",62.3,16.7,2.6,18.4
"E00014218","E00014218",60.1,18.2,0.7,20.9
"E00014194","E00014194",61.5,12.3,0.0,26.2
"E00014197","E00014197",66.2,8.1,0.7,25.0
"E00014198","E00014198",54.7,6.0,3.4,35.9
"E00014201","E00014201",57.7,6.7,1.9,33.7
"E00014203","E00014203",62.9,12.9,0.9,23.3
"E00014204","E00014204",54.8,17.7,4.0,23.4
"E00014210","E00014210",60.2,4.5,1.5,33.8
"E00014196","E00014196",61.5,9.9,1.1,27.5
"E00014205","E00014205",61.0,9.3,1.7,28.0
"E00014208","E00014208",62.5,12.5,0.0,25.0
"E00014209","E00014209",44.6,9.1,4.6,41.7
"E00014213","E00014213",64.1,8.5,0.9,26.5
"E00014214","E00014214",71.7,11.7,3.3,13.3
"E00014270","E00014270",53.8,8.8,1.1,36.3
"E00014271","E00014271",55.9,18.9,0.9,24.3
"E00014274","E00014274",43.5,11.5,3.1,42.0
"E00014276","E00014276",58.3,10.8,1.4,29.5
"E00014277","E00014277",57.4,7.0,3.9,31.8
"E00014279","E00014279",71.7,5.7,0.0,22.6
"E00014280","E00014280",52.7,17.6,0.0,29.7
"E00014258","E00014258",51.0,17.8,1.3,29.9
"E00014269","E00014269",66.1,7.6,2.5,23.7
"E00014272","E00014272",55.6,5.6,2.2,36.7
"E00014273","E00014273",58.9,6.3,2.1,32.6
"E00014275","E00014275",55.1,11.6,1.4,31.9
"E00014278","E00014278",64.8,7.7,1.1,26.4
"E00014285","E00014285",46.9,15.3,4.1,33.7
"E00014545","E00014545",68.1,8.1,1.2,22.5
"E00014561","E00014561",75.2,6.4,0.0,18.4
"E00014563","E00014563",63.0,11.8,4.2,21.0
"E00014564","E00014564",70.1,14.3,1.4,14.3
"E00014567","E00014567",65.9,9.8,1.2,23.2
"E00014568","E00014568",65.9,8.5,1.6,24.0
"E00014569","E00014569",68.5,11.8,2.4,17.3
"E00014551","E00014551",56.5,12.2,0.0,31.3
"E00014554","E00014554",54.8,13.0,5.2,27.0
"E00014555","E00014555",60.6,10.2,1.6,27.6
"E00014556","E00014556",70.4,7.0,1.4,21.1
"E00014557","E00014557",62.6,12.9,0.0,24.5
