
"KS402EW - Tenure"
"ONS Crown Copyright Reserved [from Nomis on 8 June 2020]"
"Population :","All households"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"2011 output area","mnemonic","Owned","Shared ownership (part owned and part rented)","Social rented","Private rented","Living rent free"
"E00014173","E00014173",8.4,2.8,72.0,16.8,0.0
"E00014175","E00014175",27.2,0.0,26.5,44.2,2.0
"E00014150","E00014150",19.1,0.6,64.7,15.6,0.0
"E00014151","E00014151",24.1,0.0,63.9,11.4,0.6
"E00014162","E00014162",25.6,7.7,35.9,30.1,0.6
"E00014164","E00014164",13.4,0.0,71.8,14.1,0.7
"E00014165","E00014165",18.7,0.0,58.2,22.4,0.7
"E00014167","E00014167",27.4,0.7,50.0,18.5,3.4
"E00014153","E00014153",27.9,2.3,49.6,20.2,0.0
"E00014166","E00014166",10.9,0.0,66.3,22.8,0.0
"E00014169","E00014169",32.4,0.0,35.2,31.2,1.1
"E00014172","E00014172",21.2,0.0,30.3,47.9,0.6
"E00014174","E00014174",39.9,1.4,32.6,25.4,0.7
"E00014177","E00014177",10.2,0.0,78.7,11.0,0.0
"E00014178","E00014178",12.8,0.8,78.4,8.0,0.0
"E00014152","E00014152",28.8,2.1,21.9,46.4,0.9
"E00014154","E00014154",23.5,1.3,53.6,20.9,0.7
"E00014157","E00014157",21.1,0.6,60.2,16.9,1.2
"E00014176","E00014176",12.9,0.0,58.2,27.1,1.8
"E00014179","E00014179",11.7,0.0,71.4,16.9,0.0
"E00014181","E00014181",30.6,3.6,26.1,39.6,0.0
"E00014302","E00014302",19.7,0.7,45.1,33.8,0.7
"E00014322","E00014322",37.3,2.4,21.4,36.5,2.4
"E00014325","E00014325",25.5,0.0,36.6,37.9,0.0
"E00014326","E00014326",10.1,1.3,26.8,61.1,0.7
"E00014328","E00014328",12.4,0.5,63.2,22.9,1.0
"E00014329","E00014329",5.6,2.2,71.3,19.1,1.7
"E00014412","E00014412",9.3,3.6,75.7,11.4,0.0
"E00014415","E00014415",8.2,8.8,70.6,10.0,2.4
"E00014419","E00014419",5.9,0.0,82.2,9.3,2.5
"E00014438","E00014438",3.1,1.6,84.4,9.4,1.6
"E00014439","E00014439",3.6,0.0,86.9,9.5,0.0
"E00014413","E00014413",43.8,0.0,35.2,19.0,1.9
"E00014414","E00014414",16.2,0.0,78.4,5.4,0.0
"E00014418","E00014418",3.2,0.0,89.6,4.8,2.4
"E00014422","E00014422",4.2,0.0,86.6,7.6,1.7
"E00014423","E00014423",17.0,0.7,69.3,12.4,0.7
"E00014425","E00014425",15.9,0.0,71.7,11.5,0.9
"E00014440","E00014440",12.8,3.6,24.6,56.9,2.1
"E00014442","E00014442",19.5,1.6,69.1,8.1,1.6
"E00014461","E00014461",8.9,0.0,81.5,7.3,2.4
"E00014468","E00014468",11.0,0.8,74.6,11.0,2.5
"E00014470","E00014470",11.9,2.2,73.3,11.9,0.7
"E00014443","E00014443",4.7,0.0,88.3,4.7,2.3
"E00014444","E00014444",5.5,0.0,89.1,1.8,3.6
"E00014466","E00014466",4.9,0.0,86.1,5.6,3.5
"E00014467","E00014467",12.8,2.7,73.8,8.1,2.7
"E00014469","E00014469",18.0,13.9,54.9,13.1,0.0
"E00014441","E00014441",21.1,1.2,63.9,12.0,1.8
"E00014447","E00014447",13.2,0.8,71.3,13.2,1.6
"E00014448","E00014448",6.6,0.0,93.4,0.0,0.0
"E00014449","E00014449",34.4,0.0,49.2,14.8,1.6
"E00014477","E00014477",62.4,0.0,7.1,25.9,4.7
"E00014490","E00014490",25.3,1.0,57.6,15.2,1.0
"E00014492","E00014492",45.9,3.5,0.0,47.1,3.5
"E00014494","E00014494",25.2,0.6,57.4,14.8,1.9
"E00014497","E00014497",45.1,0.0,13.3,40.7,0.9
"E00014498","E00014498",44.7,0.0,25.0,23.7,6.6
"E00014502","E00014502",47.8,1.1,23.3,20.0,7.8
"E00014473","E00014473",44.7,0.0,7.1,46.8,1.4
"E00014481","E00014481",71.0,0.0,2.9,18.8,7.2
"E00014484","E00014484",69.7,1.8,0.0,26.6,1.8
"E00014485","E00014485",48.4,0.0,10.5,34.7,6.5
"E00014486","E00014486",47.5,0.0,0.7,48.9,2.9
"E00014501","E00014501",45.0,0.0,1.8,48.6,4.6
"E00014506","E00014506",59.5,0.9,0.0,36.9,2.7
"E00014475","E00014475",14.0,21.5,9.9,50.4,4.1
"E00014482","E00014482",22.4,0.7,26.6,49.7,0.7
"E00014483","E00014483",23.8,0.0,2.9,71.4,1.9
"E00014495","E00014495",25.6,0.0,26.4,48.1,0.0
"E00014500","E00014500",40.6,0.0,15.8,42.6,1.0
"E00175087","E00175087",40.5,0.0,11.7,45.9,1.8
"E00014474","E00014474",38.4,0.0,1.1,59.3,1.1
"E00014476","E00014476",36.2,0.0,2.3,60.0,1.5
"E00014478","E00014478",29.0,0.0,3.2,64.5,3.2
"E00014479","E00014479",28.1,0.0,15.6,55.6,0.7
"E00014480","E00014480",36.4,0.0,9.3,53.3,0.9
"E00014496","E00014496",34.2,0.0,17.1,48.7,0.0
"E00014505","E00014505",30.2,0.8,9.3,56.6,3.1
"E00014471","E00014471",61.1,1.4,2.8,30.6,4.2
"E00014487","E00014487",42.9,0.7,6.8,47.6,2.0
"E00014488","E00014488",40.2,1.0,6.9,51.0,1.0
"E00014489","E00014489",43.6,1.0,24.8,27.7,3.0
"E00014491","E00014491",45.5,1.3,9.6,39.1,4.5
"E00014493","E00014493",55.0,0.9,3.6,37.8,2.7
"E00014499","E00014499",59.8,0.0,16.3,21.7,2.2
"E00014155","E00014155",25.3,0.0,21.2,51.5,2.0
"E00014156","E00014156",41.0,0.0,1.9,57.1,0.0
"E00014158","E00014158",55.8,0.0,4.8,39.4,0.0
"E00014159","E00014159",55.9,0.0,15.1,28.0,1.1
"E00014160","E00014160",47.7,0.0,22.4,28.0,1.9
"E00014161","E00014161",41.8,1.5,11.2,44.8,0.7
"E00014180","E00014180",17.2,0.7,36.4,45.0,0.7
"E00014408","E00014408",45.7,0.0,23.9,28.3,2.2
"E00014409","E00014409",58.3,0.0,3.6,36.7,1.4
"E00014410","E00014410",53.6,0.0,0.0,44.3,2.1
"E00014421","E00014421",58.1,0.0,8.1,30.6,3.2
"E00014426","E00014426",48.0,0.0,5.5,39.4,7.1
"E00014428","E00014428",63.3,0.0,3.3,31.7,1.7
"E00014407","E00014407",19.0,0.8,55.4,23.1,1.7
"E00014424","E00014424",38.5,0.0,51.0,9.6,1.0
"E00014427","E00014427",64.8,2.3,3.9,25.8,3.1
"E00014429","E00014429",47.5,6.5,12.2,30.2,3.6
"E00014430","E00014430",52.1,0.0,13.6,34.3,0.0
"E00014431","E00014431",24.5,2.0,29.1,43.0,1.3
"E00014432","E00014432",34.1,0.0,29.4,35.7,0.8
"E00014433","E00014433",18.5,0.0,49.7,31.1,0.7
"E00014434","E00014434",65.7,0.0,14.8,16.7,2.8
"E00014435","E00014435",46.4,0.0,22.3,29.5,1.8
"E00014411","E00014411",50.4,0.0,14.9,31.4,3.3
"E00014416","E00014416",44.6,0.9,32.1,20.5,1.8
"E00014417","E00014417",71.0,0.0,2.0,22.0,5.0
"E00014420","E00014420",46.1,0.0,22.7,28.9,2.3
"E00014436","E00014436",54.4,0.9,8.8,31.6,4.4
"E00014437","E00014437",50.0,0.0,10.4,37.7,1.9
"E00014120","E00014120",46.1,0.0,2.6,45.2,6.1
"E00014121","E00014121",45.7,0.0,4.3,48.9,1.1
"E00014125","E00014125",53.6,0.0,28.8,14.4,3.2
"E00014127","E00014127",50.5,0.0,0.0,46.8,2.7
"E00014130","E00014130",44.3,0.9,4.3,47.8,2.6
"E00014132","E00014132",39.7,0.0,2.4,54.8,3.2
"E00014122","E00014122",61.4,0.0,1.2,32.5,4.8
"E00014123","E00014123",62.1,0.0,0.7,30.7,6.5
"E00014124","E00014124",54.1,0.0,20.0,15.9,10.0
"E00014126","E00014126",50.0,0.8,10.9,35.2,3.1
"E00014129","E00014129",46.7,0.0,0.0,45.0,8.3
"E00014135","E00014135",37.1,0.0,4.8,51.6,6.5
"E00014118","E00014118",25.2,0.9,0.9,64.9,8.1
"E00014128","E00014128",52.4,0.0,1.6,39.5,6.5
"E00014131","E00014131",50.0,0.0,0.8,40.0,9.2
"E00014133","E00014133",37.3,0.0,0.9,56.4,5.5
"E00014134","E00014134",41.9,1.0,1.9,51.4,3.8
"E00014136","E00014136",36.3,0.9,14.2,45.1,3.5
"E00014137","E00014137",42.6,0.0,5.2,44.3,7.8
"E00014117","E00014117",70.6,0.0,0.0,22.9,6.4
"E00014138","E00014138",52.8,0.8,0.8,43.2,2.4
"E00014139","E00014139",29.4,0.8,2.4,61.9,5.6
"E00014142","E00014142",40.3,2.4,0.8,53.2,3.2
"E00014144","E00014144",72.1,0.9,0.9,25.2,0.9
"E00014145","E00014145",44.2,0.0,7.7,45.2,2.9
"E00014147","E00014147",58.0,0.0,0.0,39.0,3.0
"E00014148","E00014148",73.1,0.0,0.0,25.0,1.9
"E00014119","E00014119",69.6,0.8,8.0,16.8,4.8
"E00014140","E00014140",32.0,0.8,7.4,54.9,4.9
"E00014141","E00014141",69.6,0.0,0.9,23.5,6.1
"E00014143","E00014143",35.8,0.0,1.7,54.2,8.3
"E00014146","E00014146",52.0,1.0,1.0,37.0,9.0
"E00014149","E00014149",3.9,0.0,80.5,11.7,3.9
"E00014377","E00014377",67.4,0.0,4.3,23.2,5.1
"E00014384","E00014384",57.3,1.5,3.1,29.8,8.4
"E00014390","E00014390",53.0,0.0,9.6,29.6,7.8
"E00014392","E00014392",62.2,0.0,3.3,34.4,0.0
"E00014393","E00014393",74.5,0.0,1.9,20.8,2.8
"E00014378","E00014378",39.0,2.3,21.1,34.3,3.3
"E00014381","E00014381",47.0,0.9,23.9,27.4,0.9
"E00014386","E00014386",30.0,1.7,23.3,40.6,4.4
"E00014387","E00014387",71.0,0.9,0.0,20.6,7.5
"E00014388","E00014388",37.0,0.0,16.0,46.2,0.8
"E00014394","E00014394",25.9,0.9,38.4,34.8,0.0
"E00014375","E00014375",28.5,7.3,35.2,27.4,1.7
"E00014376","E00014376",16.1,0.0,17.1,65.3,1.6
"E00014395","E00014395",28.2,0.8,13.7,54.8,2.4
"E00014396","E00014396",56.6,0.7,8.1,30.1,4.4
"E00014397","E00014397",30.4,0.5,11.6,55.6,1.9
"E00014398","E00014398",47.2,0.6,0.6,48.4,3.1
"E00014380","E00014380",73.2,0.0,1.8,23.2,1.8
"E00014382","E00014382",69.9,0.0,0.7,24.5,4.9
"E00014383","E00014383",50.0,0.0,0.7,41.4,7.9
"E00014399","E00014399",50.0,0.0,7.3,39.5,3.2
"E00014400","E00014400",37.4,0.9,7.8,51.3,2.6
"E00014401","E00014401",59.3,0.0,0.0,31.9,8.8
"E00014372","E00014372",48.4,0.8,9.4,38.3,3.1
"E00014373","E00014373",52.9,0.0,7.8,34.3,4.9
"E00014402","E00014402",13.9,0.0,64.3,20.9,0.9
"E00014403","E00014403",73.0,0.0,1.0,26.0,0.0
"E00014404","E00014404",34.7,0.8,27.4,33.9,3.2
"E00014405","E00014405",32.6,1.2,1.2,61.6,3.5
"E00014406","E00014406",29.2,1.8,15.9,49.6,3.5
"E00014508","E00014508",53.4,0.9,0.9,37.1,7.8
"E00014509","E00014509",37.4,0.0,0.7,55.8,6.1
"E00014510","E00014510",31.9,0.7,9.2,53.9,4.3
"E00014511","E00014511",18.9,0.8,0.0,76.2,4.1
"E00014514","E00014514",43.5,0.7,2.2,50.0,3.6
"E00014535","E00014535",42.0,0.7,3.5,49.7,4.2
"E00014518","E00014518",39.4,0.0,1.4,50.7,8.5
"E00014519","E00014519",39.5,0.0,19.7,34.2,6.6
"E00014520","E00014520",37.4,1.0,0.0,61.6,0.0
"E00014526","E00014526",45.7,0.9,0.0,47.4,6.0
"E00014530","E00014530",48.6,0.9,0.9,45.9,3.7
"E00014531","E00014531",39.8,0.0,0.9,53.7,5.6
"E00014523","E00014523",73.4,0.8,0.8,20.2,4.8
"E00014524","E00014524",57.1,0.8,0.8,36.1,5.0
"E00014532","E00014532",53.1,0.0,6.2,37.2,3.5
"E00014537","E00014537",47.7,0.0,2.3,46.1,3.9
"E00014538","E00014538",70.9,0.0,1.0,25.2,2.9
"E00014539","E00014539",56.8,0.8,9.3,22.0,11.0
"E00014507","E00014507",51.1,0.0,7.4,31.9,9.6
"E00014521","E00014521",43.3,0.0,7.7,43.3,5.8
"E00014522","E00014522",27.8,0.0,8.2,47.4,16.5
"E00014525","E00014525",27.9,1.4,0.0,68.6,2.1
"E00014528","E00014528",35.0,1.5,16.8,40.1,6.6
"E00014529","E00014529",24.8,1.9,5.7,61.0,6.7
"E00014512","E00014512",37.1,0.0,3.0,50.8,9.1
"E00014527","E00014527",53.2,0.0,0.9,37.8,8.1
"E00014533","E00014533",39.0,0.7,1.5,55.1,3.7
"E00014534","E00014534",38.7,0.0,12.0,45.8,3.5
"E00014536","E00014536",29.3,0.0,2.1,67.1,1.4
"E00014540","E00014540",33.6,0.0,0.0,61.9,4.5
"E00014541","E00014541",49.6,0.8,0.8,39.2,9.6
"E00014044","E00014044",62.1,0.0,0.0,36.3,1.6
"E00014045","E00014045",57.6,0.0,2.4,40.0,0.0
"E00014047","E00014047",54.2,0.0,0.0,43.5,2.3
"E00014049","E00014049",37.4,0.5,20.0,40.5,1.6
"E00014067","E00014067",49.3,0.7,1.4,46.4,2.1
"E00014070","E00014070",57.6,0.0,0.0,37.6,4.8
"E00014052","E00014052",23.8,1.8,28.0,43.5,3.0
"E00014053","E00014053",37.8,0.0,1.8,59.5,0.9
"E00014054","E00014054",45.0,0.0,0.9,51.4,2.7
"E00014055","E00014055",69.7,0.0,0.9,28.4,0.9
"E00014057","E00014057",47.1,0.0,1.0,47.1,4.8
"E00014077","E00014077",42.1,0.0,2.0,53.3,2.6
"E00014043","E00014043",32.9,0.0,2.7,57.5,6.8
"E00014061","E00014061",50.0,0.0,0.0,49.1,0.9
"E00014063","E00014063",15.9,0.5,1.0,82.1,0.5
"E00014064","E00014064",43.4,0.0,0.0,53.3,3.3
"E00014066","E00014066",63.9,0.0,0.9,30.6,4.6
"E00014056","E00014056",54.8,0.0,1.9,38.5,4.8
"E00014062","E00014062",47.0,0.0,1.5,47.7,3.8
"E00014065","E00014065",37.9,0.8,8.1,49.2,4.0
"E00014068","E00014068",60.6,0.9,0.0,33.9,4.6
"E00014072","E00014072",70.2,0.8,0.0,24.4,4.6
"E00014076","E00014076",78.9,0.0,0.0,16.5,4.6
"E00014374","E00014374",66.0,0.9,3.8,24.5,4.7
"E00014379","E00014379",65.0,0.0,0.0,33.0,1.9
"E00014385","E00014385",61.2,0.0,0.0,37.8,1.0
"E00014389","E00014389",14.8,0.8,2.3,78.9,3.1
"E00014391","E00014391",53.2,0.9,3.7,35.8,6.4
"E00014083","E00014083",34.4,0.0,1.1,54.8,9.7
"E00014084","E00014084",19.1,0.6,5.2,66.5,8.7
"E00014085","E00014085",31.9,0.0,6.0,50.9,11.2
"E00014086","E00014086",28.4,0.0,7.9,53.7,10.0
"E00014087","E00014087",22.8,0.6,11.4,59.3,6.0
"E00014092","E00014092",37.1,0.0,0.7,55.0,7.3
"E00014095","E00014095",30.6,0.0,0.7,61.1,7.6
"E00014096","E00014096",33.1,0.7,0.7,55.9,9.6
"E00014088","E00014088",43.9,0.0,0.9,51.4,3.7
"E00014089","E00014089",28.9,1.2,0.0,65.1,4.8
"E00014090","E00014090",20.3,0.0,3.8,69.2,6.8
"E00014091","E00014091",39.5,0.0,0.9,48.2,11.4
"E00014093","E00014093",54.1,0.0,0.0,32.7,13.3
"E00014097","E00014097",22.9,0.8,3.8,66.4,6.1
"E00014098","E00014098",51.0,1.0,5.8,36.5,5.8
"E00014339","E00014339",50.5,0.9,0.0,41.1,7.5
"E00014342","E00014342",31.5,0.0,0.8,64.6,3.1
"E00014347","E00014347",32.1,0.0,3.0,58.9,6.0
"E00014363","E00014363",35.2,0.0,12.4,41.0,11.4
"E00014367","E00014367",32.7,1.0,13.9,44.6,7.9
"E00014368","E00014368",30.3,0.0,10.6,54.9,4.2
"E00014371","E00014371",41.6,2.7,0.0,38.9,16.8
"E00014338","E00014338",74.2,0.0,1.1,22.5,2.2
"E00014358","E00014358",46.0,0.0,1.0,43.0,10.0
"E00014361","E00014361",46.7,0.0,0.0,49.6,3.7
"E00014362","E00014362",47.9,0.0,0.0,50.4,1.7
"E00014365","E00014365",60.5,0.0,0.0,32.6,7.0
"E00014366","E00014366",56.4,0.0,5.3,34.0,4.3
"E00014370","E00014370",40.1,0.7,0.7,55.9,2.6
"E00014330","E00014330",42.4,0.0,0.0,46.0,11.5
"E00014331","E00014331",33.6,0.0,5.7,50.8,9.8
"E00014332","E00014332",35.2,0.0,2.4,53.6,8.8
"E00014356","E00014356",36.5,2.4,7.1,50.6,3.5
"E00014357","E00014357",24.7,1.2,0.0,56.5,17.6
"E00014359","E00014359",37.4,1.0,0.0,42.4,19.2
"E00014360","E00014360",46.7,0.7,0.0,43.1,9.5
"E00014048","E00014048",51.7,0.0,1.7,44.8,1.7
"E00014050","E00014050",13.7,0.0,34.5,48.9,2.9
"E00014069","E00014069",34.5,0.0,0.8,59.7,5.0
"E00014071","E00014071",36.5,0.0,0.9,55.7,7.0
"E00014073","E00014073",45.5,0.6,1.9,48.7,3.2
"E00014074","E00014074",26.8,2.4,1.6,68.5,0.8
"E00014075","E00014075",44.0,0.0,0.0,52.8,3.2
"E00014183","E00014183",58.4,0.0,2.2,37.1,2.2
"E00014189","E00014189",34.5,0.0,0.9,58.6,6.0
"E00014199","E00014199",44.7,1.1,1.1,47.9,5.3
"E00014200","E00014200",26.9,0.0,17.3,52.9,2.9
"E00014202","E00014202",40.8,0.0,1.0,56.3,1.9
"E00014206","E00014206",25.2,1.9,32.0,36.9,3.9
"E00014207","E00014207",40.4,0.0,26.6,27.5,5.5
"E00014184","E00014184",14.4,0.0,25.2,58.3,2.2
"E00014185","E00014185",28.9,0.0,13.8,54.7,2.5
"E00014186","E00014186",33.6,0.0,7.6,57.1,1.7
"E00014187","E00014187",37.2,2.2,7.3,48.9,4.4
"E00014188","E00014188",42.6,1.0,1.0,51.5,4.0
"E00014195","E00014195",50.6,0.0,1.2,43.4,4.8
"E00014219","E00014219",3.1,0.0,92.8,4.1,0.0
"E00014220","E00014220",23.8,0.0,12.6,62.2,1.4
"E00014259","E00014259",9.1,1.8,25.5,63.6,0.0
"E00014281","E00014281",42.0,0.0,1.2,53.1,3.7
"E00014282","E00014282",39.5,0.0,32.5,28.1,0.0
"E00014284","E00014284",36.4,1.0,1.0,60.6,1.0
"E00014286","E00014286",28.6,0.8,17.6,52.9,0.0
"E00014290","E00014290",43.2,1.1,4.2,49.5,2.1
"E00014292","E00014292",18.5,3.4,8.4,64.7,5.0
"E00014513","E00014513",25.6,0.0,0.8,70.7,3.0
"E00014515","E00014515",39.0,1.0,5.7,53.3,1.0
"E00014516","E00014516",33.6,0.0,27.3,36.4,2.8
"E00014517","E00014517",36.7,1.0,0.0,58.6,3.6
"E00014542","E00014542",40.9,0.8,0.8,50.8,6.8
"E00014543","E00014543",44.6,0.0,0.0,53.1,2.3
"E00014544","E00014544",50.8,0.0,1.6,36.1,11.5
"E00014078","E00014078",51.2,0.0,2.4,42.9,3.6
"E00014079","E00014079",42.6,0.8,9.8,39.3,7.4
"E00014094","E00014094",48.6,0.0,4.8,40.0,6.7
"E00014099","E00014099",30.9,0.7,5.8,59.0,3.6
"E00014100","E00014100",55.5,0.0,1.7,37.8,5.0
"E00014102","E00014102",17.1,0.8,29.3,51.2,1.6
"E00014108","E00014108",62.1,0.0,3.4,28.4,6.0
"E00014109","E00014109",44.4,0.0,6.3,43.7,5.6
"E00014110","E00014110",2.5,0.0,93.3,0.8,3.3
"E00014112","E00014112",16.7,0.0,60.4,20.8,2.1
"E00014113","E00014113",7.8,0.0,77.8,14.4,0.0
"E00014115","E00014115",3.8,0.0,88.6,7.6,0.0
"E00014346","E00014346",40.4,0.6,3.2,55.1,0.6
"E00014348","E00014348",55.2,0.0,0.9,40.5,3.4
"E00014349","E00014349",28.1,0.0,4.8,63.6,3.5
"E00014364","E00014364",19.3,1.8,70.2,7.0,1.8
"E00175096","E00175096",10.6,0.0,64.4,22.0,3.0
"E00014334","E00014334",21.8,0.0,56.4,21.8,0.0
"E00014336","E00014336",68.5,0.0,0.8,25.0,5.6
"E00014337","E00014337",3.2,0.0,87.1,9.7,0.0
"E00014345","E00014345",33.3,0.0,14.6,50.4,1.6
"E00014351","E00014351",36.5,2.4,0.0,53.2,7.9
"E00014353","E00014353",58.0,0.7,2.8,33.6,4.9
"E00014354","E00014354",64.5,0.0,0.9,31.8,2.8
"E00014335","E00014335",6.0,0.0,75.3,18.7,0.0
"E00014341","E00014341",35.1,0.0,27.6,32.1,5.2
"E00014344","E00014344",18.8,0.0,2.1,77.3,1.8
"E00014350","E00014350",0.9,0.0,91.6,4.7,2.8
"E00014352","E00014352",7.8,0.0,67.6,21.6,2.9
"E00014355","E00014355",1.0,0.0,92.0,5.0,2.0
"E00014046","E00014046",65.9,0.0,3.2,25.4,5.6
"E00014051","E00014051",40.5,0.0,14.3,40.5,4.8
"E00014058","E00014058",21.1,0.0,22.4,56.5,0.0
"E00014059","E00014059",27.1,0.0,55.2,16.7,1.0
"E00014060","E00014060",4.6,0.7,64.2,28.5,2.0
"E00175099","E00175099",10.0,18.6,51.4,20.0,0.0
"E00175100","E00175100",25.5,7.4,17.3,45.9,3.9
"E00014263","E00014263",35.8,0.0,21.6,41.0,1.5
"E00014264","E00014264",70.3,0.0,1.6,25.8,2.3
"E00014267","E00014267",27.0,0.0,6.3,64.0,2.6
"E00014268","E00014268",56.4,0.0,3.8,36.8,3.0
"E00014293","E00014293",38.5,0.0,12.8,45.9,2.7
"E00014299","E00014299",32.9,0.7,12.1,52.9,1.4
"E00014261","E00014261",28.2,1.5,16.0,52.7,1.5
"E00014262","E00014262",21.6,0.0,18.4,57.6,2.4
"E00014265","E00014265",22.2,0.9,26.9,45.4,4.6
"E00014266","E00014266",38.8,0.0,19.4,36.7,5.0
"E00014296","E00014296",31.0,0.7,38.6,29.0,0.7
"E00014297","E00014297",31.9,2.8,29.9,32.6,2.8
"E00014298","E00014298",12.7,1.0,51.0,32.4,2.9
"E00014260","E00014260",20.7,0.0,31.9,47.4,0.0
"E00014283","E00014283",21.3,0.9,35.2,40.7,1.9
"E00014287","E00014287",11.1,0.0,47.9,41.0,0.0
"E00014288","E00014288",4.4,0.9,79.6,14.2,0.9
"E00014289","E00014289",43.6,2.6,12.8,41.0,0.0
